Type,Organization,Title,Date,Link
Feature,Girl Genius,Girl Genius Magazine: Issue Five,"March 9, 2021",https://issuu.com/girlgeniusmagazine/docs/gg_issue_v__5_
Feature,The STEAM Foundation,Interview with Abigayle Peterson - Founder & CEO of Magnify Wellness ,"February 21, 2021",https://www.youtube.com/watch?v=fKr6-Tleky8
Feature,Reinvented Magazine,Reinvented Magazine: Issue 7 Next Gen in STEM,"February 18, 2021",https://www.reinventedmagazine.com/product-page/seventh-issue-print-magazine
Feature,Western Washington University - Department of Computer Science,Finalists for the NCWIT Collegiate Award,"January 20, 2021",https://cs.wwu.edu/finalists-ncwit-collegiate-award
Feature,The Paris Project,Mental Health Heros: Story Telling with Abby from Magnify Wellness,"January 17, 2021",https://open.spotify.com/episode/6HG8GtFpWlmAn8EctSlRXG?si=28jhVAkKR1mm8VzsbJ4L7A
Feature,The Western Front Online,First-year Western Student Creates Mental Wellness App for Students,"December 6, 2020",https://www.westernfrontonline.com/2020/12/06/mentalwellness/
Feature,And This is How It Started Podcast,How it Started: Magnify Wellness with Abigayle Peterson,"November 23, 2020",https://open.spotify.com/episode/7wnJBKkr8XCH6UHIT4o6jH?si=Kid1T6p9Rk2m7UmNoPOJeg
Feature,HEARO UW,Recenter Yourself: Self Defense with Abigayle Peterson & Harrison Toppen Ryan,"November 15, 2020",https://www.youtube.com/watch?v=TouDp6taF8g&t=654s&ab_channel=HEAROInitiative
Feature,Western Washington University Today,Honors student Abigayle Peterson develops new wellness app for the Apple Store,"November 4, 2020",https://westerntoday.wwu.edu/features/honors-student-abigayle-peterson-develops-new-wellness-app-for-the-apple-store
Feature,STEMlights,STEMlights Newsletter Edition 21 -- Stem Spotlight: Abigayle Peterson,"October 4, 2020",https://stemlights.stemchats.org/edition/21.html
Feature,Channel Kindness,Magnifying the Importance of Mental Health,"September 6, 2020",https://www.channelkindness.org/magnifying-mental-health/
Feature,Lemonades Life Newsletter,Lemons & Life — Issue 4: Spotlight Mention — Magnify Wellness,"August 24, 2020",https://lemonsandlifeorg.substack.com/p/lemons-and-life-issue-4?utm_medium=email&utm_campaign=cta
Feature,STEAMChangersCA,STEAMChangers: Abigayle Peterson,"August 3, 2020",https://steampowerca.org/steamchangers/abbypeterson
Feature,The Positive Note,BIPOC Mental Health Month: The Power of Empathy,"July 13, 2020",https://medium.com/@thepositivenote/bipoc-mental-health-month-the-power-of-empathy-6c5ae52fcf10
Feature,The Scholarship Track,GHC Scholarship Interview – Abigayle Peterson,"June 21, 2020",https://scholarshiptrack.org/2020/06/21/ghc-abigayle-peterson/
Workshop/Speaker,Stemology ,Magnify CEO Hosts AI Hacks II App Development Workshop,"December 27, 2020",https://docs.google.com/presentation/d/1tgTKn69LekTrDeR-1FRFI9CaUwyy_Wo44MPZ9esJoF8/edit
Workshop/Speaker,Saluburious Organization,Magnify CEO Hosts IOS Development Workshop,"December 26, 2020",https://docs.google.com/presentation/d/1uzxXPeGZKtzD6C_tCEE-BCYgEHXL6pfUHNKQ55egkPU/edit#slide=id.g94c3a170b3_1_5
Workshop/Speaker,Helloo World Hackathon,Code with Empathy Workshop,"August 16, 2020", https://drive.google.com/file/d/17IWchn1O9RVLQw7f--BVjuZYRWWUBFqK/view?usp=sharing
Workshop/Speaker,She Creates Makeathon,Magnify CEO Speaks at She Creates Makeathon: Creating the Future Starts with You,"August 4, 2020",https://shecreates.carrd.co/#speakers
Workshop/Speaker,UnsinkableYouth,Unsinkable Stories: Abigayle Peterson,"July 23, 2020",https://weareunsinkable.com/leading-with-empathy-abigayle-peterson/
Workshop/Speaker,CodeHers Collective,Start Up Engineer Panelist,"April 5, 2021",https://codehers.co/?page_id=547 
